# t Temp Pres Epot Etot
30.300000 1.999008 5.092262 -1222.792212 -455.173029
30.350000 1.992113 5.393844 -1203.305328 -438.333887
30.400000 1.988984 5.021359 -1227.175435 -463.405737
30.450000 2.009022 5.229089 -1220.997376 -449.532905
30.500000 1.999816 5.293967 -1217.576398 -449.647033
30.550000 2.000566 5.240334 -1220.963097 -452.745906
30.600000 1.991602 5.978226 -1172.723938 -407.948906
30.650000 1.977747 5.660757 -1197.210070 -437.755064
30.700000 2.009530 4.951776 -1243.049632 -471.390271
30.750000 1.980037 5.495199 -1210.912289 -450.578130
30.800000 2.015861 5.752553 -1202.379845 -428.289284
30.850000 2.010137 5.624682 -1209.557212 -437.664759
30.900000 1.997368 5.538479 -1212.017006 -445.027527
30.950000 1.997377 5.804994 -1188.105829 -421.112923
31.000000 2.011441 5.269823 -1220.487244 -448.094018
31.050000 1.983467 5.396181 -1206.001618 -444.350121
31.100000 1.993201 5.625234 -1188.328548 -422.939373
31.150000 1.994335 5.299667 -1211.772646 -445.947828
31.200000 2.009234 5.309712 -1216.405611 -444.859590
31.250000 2.014760 4.960354 -1242.400938 -468.733258
31.300000 2.008060 4.982539 -1232.015507 -460.920494
31.350000 1.999573 4.950390 -1230.891146 -463.054925
31.400000 1.998374 5.614561 -1197.147185 -429.771640
31.450000 1.980122 5.627845 -1207.328921 -446.962062
31.500000 1.992420 5.989082 -1184.478439 -419.389290
31.550000 2.003403 5.577953 -1202.215430 -432.908691
31.600000 2.003230 5.291149 -1215.809431 -446.569046
31.650000 1.998015 5.266256 -1213.203315 -445.965643
31.700000 1.991818 4.594144 -1255.112076 -490.253776
31.750000 2.009438 4.982139 -1232.656634 -461.032467
31.800000 2.005729 5.338343 -1219.164643 -448.964576
31.850000 2.004433 5.676917 -1204.655508 -434.953266
31.900000 2.024026 5.432679 -1221.355735 -444.129640
31.950000 1.999047 5.607663 -1204.410635 -436.776421
32.000000 2.008214 5.166274 -1233.668254 -462.514236
32.050000 2.002025 5.534395 -1202.620695 -433.842967
32.100000 1.995845 5.129359 -1224.774268 -458.369761
32.150000 1.993490 6.006622 -1170.996308 -405.496070
32.200000 1.994314 5.921848 -1176.702291 -410.885683
32.250000 2.031949 5.903982 -1183.521603 -403.253377
32.300000 2.014201 5.458773 -1213.596139 -440.142787
32.350000 2.013363 5.173717 -1230.116042 -456.984737
32.400000 1.984092 5.326893 -1220.437963 -458.546716
32.450000 2.002428 5.031707 -1235.266034 -466.333506
32.500000 1.996539 4.668389 -1253.505398 -486.834597
32.550000 2.001697 4.350351 -1274.132326 -505.480705
32.600000 1.992822 5.149295 -1224.847540 -459.603765
32.650000 2.005858 5.629085 -1198.479562 -428.230227
32.700000 2.003301 5.165347 -1227.171356 -457.903793
32.750000 1.996170 5.093927 -1231.930396 -465.400957
32.800000 2.015304 5.455570 -1208.124246 -434.247637
32.850000 2.009521 5.415740 -1214.493713 -442.837553
32.900000 2.013876 5.405291 -1212.630383 -439.301966
32.950000 1.991751 5.409066 -1217.311092 -452.478781
33.000000 2.018084 6.058796 -1178.193286 -403.248910
33.050000 1.986339 5.270783 -1227.230016 -464.475768
33.100000 2.002611 5.310907 -1224.575620 -455.572819
33.150000 2.018966 4.472899 -1267.300603 -492.017741
33.200000 1.971960 4.760360 -1239.602844 -482.370079
33.250000 1.991917 5.049563 -1235.140611 -470.244637
33.300000 2.014859 5.675143 -1205.365130 -431.659201
33.350000 2.001784 5.390797 -1221.552066 -452.866854
33.400000 1.999607 5.510857 -1208.167496 -440.318538
33.450000 2.013361 5.155175 -1225.010097 -451.879452
33.500000 1.996538 5.023945 -1232.831786 -466.161004
33.550000 2.016646 4.851950 -1245.518221 -471.126117
33.600000 1.953565 5.487566 -1203.232217 -453.063228
33.650000 2.007961 6.132251 -1163.895442 -392.838547
33.700000 2.004592 4.929417 -1237.470807 -467.707520
33.750000 2.017686 5.437662 -1202.274939 -427.483469
33.800000 1.988039 4.626904 -1251.829476 -488.422640
33.850000 2.011866 4.959731 -1234.461042 -461.904465
33.900000 1.982462 5.128400 -1233.440152 -472.174694
33.950000 2.021060 5.972324 -1184.378211 -408.291333
34.000000 2.014313 6.101563 -1172.553984 -399.057807
34.050000 1.988777 5.751446 -1198.538125 -434.847802
34.100000 1.997264 5.461408 -1215.965046 -449.015633
34.150000 1.971038 5.644980 -1202.540127 -445.661674
34.200000 2.027510 5.949640 -1189.333474 -410.769626
34.250000 1.991911 5.323503 -1216.981252 -452.087421
34.300000 1.994988 5.056010 -1230.655577 -464.580332
34.350000 2.002446 5.136647 -1220.853708 -451.914366
34.400000 2.000126 5.365368 -1201.006759 -432.958323
34.450000 1.998069 4.444547 -1264.081043 -496.822374
34.500000 2.007175 5.489856 -1199.265780 -428.510721
34.550000 2.004224 5.753487 -1184.272942 -414.651054
34.600000 2.031434 5.118294 -1230.564565 -450.493957
34.650000 1.984424 5.564631 -1202.136271 -440.117343
34.700000 2.006343 5.728398 -1190.396458 -419.960887
34.750000 2.002451 5.082425 -1231.102366 -462.161079
34.800000 1.990601 5.449683 -1214.459075 -450.068262
34.850000 2.001165 5.457542 -1214.618666 -446.171126
34.900000 2.015583 5.293792 -1222.694369 -448.710470
34.950000 1.980300 5.606037 -1198.446083 -438.010809
35.000000 2.016985 5.117229 -1225.872178 -451.349998
35.050000 1.987727 5.004139 -1234.429292 -471.142051
35.100000 1.965960 5.859757 -1187.049545 -432.120772
35.150000 2.012906 6.004152 -1176.492976 -403.536963
35.200000 2.009631 4.567499 -1259.210287 -487.511822
35.250000 1.978073 5.475995 -1197.469250 -437.889299
35.300000 1.984421 5.928271 -1173.591971 -411.574238
35.350000 2.020571 4.988442 -1239.679128 -463.779802
35.400000 1.992887 4.438619 -1267.105547 -501.837130
35.450000 1.994883 4.628391 -1254.337140 -488.302203
35.500000 1.986937 5.407696 -1213.429738 -450.446119
35.550000 2.012610 5.498598 -1208.710368 -435.868060
35.600000 1.988323 4.734666 -1257.529286 -494.013402
35.650000 1.987241 5.313177 -1226.497587 -463.396962
35.700000 1.999705 5.653136 -1205.634378 -437.747720
35.750000 1.976520 5.905622 -1188.931052 -429.947416
35.800000 2.011298 6.281712 -1165.615736 -393.277367
35.850000 2.004728 5.577673 -1207.878342 -438.062685
35.900000 2.004981 6.372880 -1154.728480 -384.815829
35.950000 2.007126 6.325735 -1162.522295 -391.785802
36.000000 1.983882 5.863838 -1192.327541 -430.516792
36.050000 2.000963 5.969478 -1182.269775 -413.900011
36.100000 2.005595 5.671212 -1196.942730 -426.794361
36.150000 1.987029 5.697883 -1203.228538 -440.209237
36.200000 2.041453 6.412980 -1163.731159 -379.813343
36.250000 1.966989 6.575385 -1153.649909 -398.326021
36.300000 2.025041 6.484642 -1157.891441 -380.275816
36.350000 1.998802 5.294064 -1230.224397 -462.684331
36.400000 1.989048 5.967313 -1179.618024 -415.823416
36.450000 1.996686 5.547886 -1204.394627 -437.667188
36.500000 2.006100 4.717855 -1254.389169 -484.046849
36.550000 1.988610 4.981651 -1238.612249 -474.986186
36.600000 1.998395 5.379228 -1215.415247 -448.031614
36.650000 1.983497 5.196046 -1223.333051 -461.670186
36.700000 2.000692 5.437570 -1212.199573 -443.933783
36.750000 2.016176 5.092236 -1237.436127 -463.224485
36.800000 2.005755 5.005801 -1237.985181 -467.775161
36.850000 1.999645 4.686410 -1257.189747 -489.326058
36.900000 1.985669 5.046851 -1234.694573 -472.197506
36.950000 2.027236 5.427115 -1210.309999 -431.851333
37.000000 1.984730 5.560675 -1200.620177 -438.483677
37.050000 2.007741 5.266743 -1220.944265 -449.971912
37.100000 1.987407 5.503186 -1200.104470 -436.940299
37.150000 2.006651 5.214677 -1219.715077 -449.161117
37.200000 2.025249 5.957116 -1170.127435 -392.431903
37.250000 1.962027 5.638001 -1190.512417 -437.093947
37.300000 2.009999 5.586893 -1198.986738 -427.146985
37.350000 1.985710 5.519706 -1204.224517 -441.711828
37.400000 1.995439 5.228234 -1223.619919 -457.371190
37.450000 2.011264 5.493416 -1207.408929 -435.083641
37.500000 1.975059 2.927987 -1090.072362 -331.649725
37.550000 2.012007 2.703959 -1114.602516 -341.991876
37.600000 1.992718 2.547650 -1128.182432 -362.978673
37.650000 2.003496 2.855625 -1113.901873 -344.559592
37.700000 2.000224 2.993116 -1109.586256 -341.500058
